title,price,rating,reviews,availablity,image_url
"Indoor Self Watering Planters with Drainage Holes and Saucers, 8, 7, 6.5, 6, 5.5, 5 Inches, Black, 6 Pots",$19.99,4.6 out of 5 stars,"3,546 ratings",In Stock,https://m.media-amazon.com/images/I/719MB0Tuw7L.__AC_SX300_SY300_QL70_ML2_.jpg
"Set of 2 Large Tall Planter for Indoor or Outdoor 24"" Flower Pots Tapered Tall Planters with Tray for Porch, Patio, Backyard, Large Planters for Outdoor Indoor Plants(Black)",$62.99,4.7 out of 5 stars,502 ratings,In Stock,https://m.media-amazon.com/images/I/714Y3Y1I9BL.__AC_SX300_SY300_QL70_ML2_.jpg
"Anyumocz 60 Pcs 1 Gallon Flexible Plant Nursery Pots,Thickened Soft Plastic Seedling Pot with Holes,Flower Plant Container for Succulents,Cuttings,Transplanting,Home Garden(Black)",$14.99,4.4 out of 5 stars,573 ratings,In Stock,https://m.media-amazon.com/images/I/8143GuNSe6L.__AC_SX300_SY300_QL70_ML2_.jpg
"MIXC 30 Packs 4"" Reinforced Clear Nursery Pots with Silicone Base for Easy Transplant, Transparent Plastic Plant Pot Reusable Seedling Pots Seed Starter Pots Flower Pot, Green",$20.99,4.8 out of 5 stars,740 ratings,In Stock,https://m.media-amazon.com/images/I/71gyI7G5ngL.__AC_SY300_SX300_QL70_ML2_.jpg
"MIXC 30 Packs 4"" Reinforced Clear Nursery Pots with Silicone Base for Easy Transplant, Transparent Plastic Plant Pot Reusable Seedling Pots Seed Starter Pots Flower Pot, Green",$20.99,4.8 out of 5 stars,740 ratings,In Stock,https://m.media-amazon.com/images/I/71gyI7G5ngL.__AC_SY300_SX300_QL70_ML2_.jpg
"Quarut Large Plastic 3 Pack16 inch Plant Pots,Whiskey Barrel Planters with Drainage Holes & Saucer.Flower Pots Imitation Wine Barrel Design for Indoor & Outdoor Garden Balcony Plants.7 Gallons(Brown)",$49.38,4.6 out of 5 stars,"6,040 ratings",In Stock,https://m.media-amazon.com/images/I/81m+QmXzU2L._AC_SY300_SX300_QL70_ML2_.jpg
"10 Inch 4 Pack Large Plant Pots, Plastic Flower Pot for Indoor & Outdoor with Drainage Holes & Saucer, Plaid Pattern Planters Garden Pots for Herbs",$19.79,4.5 out of 5 stars,477 ratings,In Stock,https://m.media-amazon.com/images/I/61IUuTymI2L.__AC_SX300_SY300_QL70_ML2_.jpg
"Pure Garden Lattice Design Planter Box – 14.75-Inch-Square Decorative Outdoor Flower or Plant Pot – Front Porch, Patio, and Garden Decor (Black)",$29.99,3.7 out of 5 stars,"2,637 ratings",In Stock,https://m.media-amazon.com/images/I/71aFbsqnCiL.__AC_SX300_SY300_QL70_ML2_.jpg
"Plant Pots 10/9/8/7.5/7 Inch Self Watering Pots, Set of 5 Plastic Planters with Drainage Holes and Saucers,Plastic Flower Pots,Nursery Planting Pot for Indoor Out Door Plants（White）",$26.99,4.6 out of 5 stars,"1,952 ratings",In Stock,https://m.media-amazon.com/images/I/71wXchjDuaL.__AC_SX300_SY300_QL70_ML2_.jpg
"Quarut 10 Inch Flower Pots Planters for Outdoor Indoor, 3 Pack Plastic Plant Pots with Drainage Hole & Tray, Modern Decorative Garden Pot with Saucer, planters for House (Gray)",$19.90,4.6 out of 5 stars,660 ratings,In Stock,https://m.media-amazon.com/images/I/71gcugnzA2L.__AC_SX300_SY300_QL70_ML2_.jpg
"6 inch Plant Pots, 5 Pack Flower Pots Outdoor Indoor, Planters with Drainage Holes and Tray Saucers（Multicolor）",$17.99,4.6 out of 5 stars,"1,700 ratings",In Stock,https://m.media-amazon.com/images/I/71m0nCAY3-L.__AC_SY300_SX300_QL70_ML2_.jpg
"Kante Tall Round Planter Set of 2, 13 Inch Tall Decorative Planter Pots for Outdoor Indoor Garden Patio Front Porch (Black)",$27.99,4.5 out of 5 stars,506 ratings,In Stock,https://m.media-amazon.com/images/I/81T6KRLY9lL.__AC_SX300_SY300_QL70_ML2_.jpg
"Amazon Basics Fluted Ceramic Round Planter, 10 in, White",$52.33,4.7 out of 5 stars,984 ratings,In Stock,https://m.media-amazon.com/images/I/71QzOO1mHGL.__AC_SX300_SY300_QL70_ML2_.jpg
"Gepege 6 Inch Beaded Ceramic Planter Set of 2 with Drainage Hole and Saucer for Plants, Indoor-Outdoor Large Round Succulent Orchid Flower Pot (Smoked Gray, Inner-pots not Larger Than 5 Inch)",$24.99,4.7 out of 5 stars,"4,181 ratings",In Stock,https://m.media-amazon.com/images/I/71PDS2VIDrL.__AC_SX300_SY300_QL70_ML2_.jpg
"Planter Pots with Drainage Holes - Lightweight, Durable, and Space-Saving Pots for Indoor and Outdoor - Versatile Functionality, Simple Modern Design, Set of 5 Plastic Planter Pots - Pink",$7.66,4.4 out of 5 stars,632 ratings,In Stock,https://m.media-amazon.com/images/I/71Yb7deh6FL.__AC_SY300_SX300_QL70_ML2_.jpg
"4 Pack 10 inch Plant Pots, Retro Pattern Planters with Drainage Holes and Saucer, Sturdy Plastic Garden Flower Pots for Indoor & Outdoor Plants",$19.89,4.7 out of 5 stars,397 ratings,In Stock,https://m.media-amazon.com/images/I/61yC-ycAU+L._AC_SY300_SX300_QL70_ML2_.jpg
Classic Home and Garden Vogue Planter Pots w/Pottery Quality Finish - Modern Indoor & Outdoor Flower Pots - UV-Resistant Porch Planters - Decorative Pot for Flowers & Herbs (8” Weathered Copper),$14.54,4.2 out of 5 stars,"6,045 ratings",In Stock,https://m.media-amazon.com/images/I/81WkO-2OItL.__AC_SX300_SY300_QL70_ML2_.jpg
"Window Box Planter, 7 Pack Plastic Vegetable Flower Planters Boxes 17 Inches Rectangular Flower Pots with Saucers for Indoor Outdoor Garden, Patio, Home Decor (Red)",$22.99,4.6 out of 5 stars,"2,970 ratings",In Stock,https://m.media-amazon.com/images/I/71mncjtyPTL.__AC_SX300_SY300_QL70_ML2_.jpg
"LE TAUCI 10 Inch Plant Pot, Ceramic Pots for Plants with Drainage Hole and Rubber Plug, Plant Pots Indoor for Home Garden Patio Office, Cylinder Flower Planter Pot, Neutral Gray",$54.99,4.7 out of 5 stars,385 ratings,In Stock,https://m.media-amazon.com/images/I/715l5MP4vPL.__AC_SX300_SY300_QL70_ML2_.jpg
"CosmoLiving by Cosmopolitan Metal Indoor Outdoor Planter Dome Large Planter Pot with Removable Stand, Set of 2 Planters 19"", 22""H, Gold",$60.23,4.6 out of 5 stars,661 ratings,In Stock,https://m.media-amazon.com/images/I/71zzuHE4P-L.__AC_SX300_SY300_QL70_ML2_.jpg
"The HC Companies Caribbean Planter Pot - Outdoor & Indoor Plant Pot with Drainage Hole & Plug - Rolled Rim Plastic Pots for Plants & Flowers - Decorative Plant Pot (10"" Black, Pack of 1)",$13.81,4.6 out of 5 stars,"6,038 ratings",In Stock,https://m.media-amazon.com/images/I/514uW8MESKL.__AC_SX300_SY300_QL70_ML2_.jpg
